cat_name,year,gmv,pct_change_YoY
Agriculture & Food,2018,2952080724.0,0.0
Agriculture & Food,2019,17365637905.0,297.0
Agriculture & Food,2020,27520984221.0,362.0
Computer & Communication,2018,10937505831.0,0.0
Computer & Communication,2019,18327823825.0,314.0
Computer & Communication,2020,203006313397.0,2697.0
Horeca,2018,66651600.0,0.0
Horeca,2019,76036100.0,-3.0
Horeca,2020,5607200.0,-4.0
Machinery & Industrial Parts,2018,526861971.0,0.0
Machinery & Industrial Parts,2019,23911066134.0,410.0
Machinery & Industrial Parts,2020,978419890.0,9.0